STIDSTD,Gender,ESCS,MATH_avg_score,READ_avg_score,SCIE_avg_score,Total_Avg
272,Female,-0.16,616.14738,574.3696,579.29876,589.93858
273,Male,-0.16,658.1321,581.07116,585.2667,608.1566533
274,Male,0.08,630.94718,579.70784,629.09364,613.2495533
275,Female,-1.02,703.23262,670.7194,677.86272,683.9382467
276,Female,0.16,601.97072,592.63872,624.33794,606.3157933
277,Female,0.32,602.0486,621.2339,631.05186,618.1114533
278,Male,-0.02,613.03162,574.73578,611.8426,599.87
279,Female,-0.8,548.76928,587.55514,590.76834,575.6975867
280,Male,0.03,713.43668,627.50376,703.97238,681.6376067
281,Female,1.15,655.48372,638.86756,623.21896,639.19008
282,Female,0.78,608.90324,561.74006,612.49534,594.3795467
283,Female,0.45,605.63172,577.7057,595.9903,593.10924
284,Female,0.16,670.04988,645.69864,656.88176,657.5434267
285,Female,0.05,591.76662,581.67724,594.68484,589.3762333
286,Male,0.62,679.3192,638.97158,702.01416,673.43498
287,Female,0.98,637.80184,595.65712,603.72994,612.3963
288,Male,0.86,613.10952,543.7807,597.48228,584.7908333
289,Female,1.26,618.79574,581.67724,606.06118,602.1780533
290,Female,-0.56,698.71476,646.89012,673.66654,673.0904733
291,Female,0.06,596.67394,597.88118,596.82954,597.12822
292,Female,0.29,714.13772,655.62752,717.40024,695.7218267
293,Male,1.17,652.67956,634.3203,649.04886,645.3495733
294,Female,0.37,590.36456,577.7057,569.32114,579.1304667
295,Female,-0.67,699.1042,637.04066,621.44722,652.5306933
296,Female,0.02,612.25268,589.54092,584.98694,595.5935133
297,Male,0.58,690.30226,630.95214,657.25474,659.5030467
298,Female,0.53,559.36282,601.37614,575.10256,578.61384
299,Female,0.32,675.81398,646.41352,675.99776,666.0750867
300,Female,-0.41,601.34758,597.9606,598.22826,599.1788133
301,Female,-0.29,577.20048,598.4372,589.46288,588.3668533
302,Female,-0.27,636.71134,612.25818,641.68222,630.2172467
303,Male,0.96,585.53514,528.38336,590.39538,568.1046267
304,Female,-0.05,678.1508,648.24046,646.06492,657.4853933
305,Female,-0.37,726.91228,655.54808,671.80154,684.7539667
306,Female,0.41,644.03334,641.17108,653.24508,646.1498333
307,Female,1.38,671.52984,630.20962,654.64378,652.1277467
308,Male,-0.34,578.99204,579.14648,614.7333,590.9572733
309,Male,0.73,458.49042,468.95922,465.62848,464.3593733
310,Female,0.31,530.38634,571.0335,564.6587,555.3595133
311,Female,-1.31,517.0665,535.21012,549.7389,534.0051733
312,Female,-1.19,517.2223,532.27116,524.09548,524.5296467
313,Female,-0.51,544.25144,604.8711,563.72622,570.9495867
314,Female,-0.37,529.14004,539.3405,536.77732,535.0859533
315,Female,-1.17,631.72614,642.7597,626.10968,633.53184
316,Female,-1.29,510.52344,520.11822,508.33644,512.9927
317,Female,-1.29,571.9816,589.4615,565.0317,575.4916
318,Male,-0.94,576.18786,501.75878,559.25028,545.7323067
319,Male,-0.55,643.1765,614.99342,603.45022,620.5400467
320,Female,-0.02,513.32764,525.59898,529.03766,522.65476
321,Female,0.1,567.1522,604.71222,561.30176,577.72206
322,Female,0.23,472.04394,515.98778,512.99888,500.3435333
323,Female,-0.5,578.13524,550.77858,558.41104,562.44162
324,Male,-0.01,681.8897,607.21458,616.50504,635.2031067
325,Male,0.43,651.7448,585.56202,614.17382,617.1602133
326,Female,0.08,556.01338,560.628,560.74226,559.12788
327,Male,-0.98,551.88502,544.98362,546.10218,547.65694
328,Female,0,580.62782,477.3049,552.53636,536.8230267
329,Female,0.69,473.44602,486.0423,464.04328,474.5105333
330,Female,-0.33,548.53558,573.41644,536.3111,552.7543733
331,Female,-1.42,614.12212,578.34112,580.79074,591.08466
332,Female,-1.69,461.37248,485.64514,473.74114,473.5862533
333,Female,-1.16,551.41766,534.1775,546.00896,543.86804
334,Male,-0.57,609.05904,590.93506,591.14136,597.0451533
335,Female,-0.86,529.45162,527.98188,529.41066,528.9480533
336,Female,-0.49,681.42234,640.4562,594.59158,638.8233733
337,Male,-0.56,563.95854,518.43924,559.34354,547.2471067
338,Female,-0.92,492.76366,544.1858,505.07274,514.0074
339,Female,-0.66,550.17136,551.81118,560.55574,554.1794267
340,Female,1.17,531.71054,532.50942,560.74226,541.6540733
341,Female,0.01,556.79232,590.97068,561.67474,569.81258
342,Female,-2.28,429.66974,457.28828,456.3036,447.7538733
343,Male,-0.41,451.16842,485.80008,481.20104,472.72318
344,Male,-0.53,566.52906,520.04312,557.1988,547.92366
345,Male,-0.54,401.55008,459.89724,429.82096,430.42276
346,Female,1.2,531.78846,529.8088,536.21784,532.6050333
347,Male,-0.27,535.60522,518.76002,558.13128,537.49884
348,Male,0.66,610.14956,540.09176,602.70422,584.31518
349,Male,-0.94,526.41376,484.19618,570.06714,526.89236
350,Male,-1.38,592.93504,531.99212,546.38194,557.1030333
351,Female,-0.79,527.81586,554.75014,561.30174,547.9559133
352,Female,-1.59,593.71398,566.26762,580.41776,580.13312
353,Female,0.18,557.1039,521.94512,542.18574,540.4115867
354,Female,-1.55,602.98332,596.13368,616.87802,605.3316733
355,Male,-0.14,685.5507,634.88166,708.82134,676.4179
356,Female,-1.01,543.55038,524.08978,519.1533,528.9311533
357,Male,-1.93,605.9433,518.03828,572.58488,565.5221533
358,Male,-0.53,498.6836,462.86444,534.4461,498.6647133
359,Male,-0.84,531.63264,468.71862,538.17604,512.8424333
360,Male,-1.5,530.54216,450.83526,509.17568,496.8510333
361,Female,-1.58,427.09924,499.38672,479.42932,468.6384267
362,Male,-0.95,546.97772,522.76974,553.00262,540.9166933
363,Female,-1.28,486.76584,503.51714,505.35248,498.5451533
364,Male,-1.08,533.11264,553.64462,594.59154,560.4496
365,Male,-0.01,587.71614,546.82808,593.19284,575.9123533
366,Male,0.13,550.32712,527.5012,569.2279,549.01874
367,Male,-1.61,496.96994,505.12696,521.671,507.9226333
368,Male,-0.76,601.58126,509.0565,557.47856,556.0387733
369,Female,-0.58,481.85854,489.9344,529.78368,500.52554
370,Male,0.12,549.47034,555.80988,603.63672,569.63898
371,Male,-0.64,577.82366,514.10874,564.56546,552.1659533
372,Male,-1.62,600.9581,531.35056,560.46252,564.25706
373,Female,-1.23,542.382,539.73766,570.06714,550.7289333
374,Female,-1.22,503.66878,502.32566,524.00224,509.9988933
375,Male,-0.27,541.52516,495.7442,543.95748,527.0756133
376,Female,-1.25,417.67408,448.55088,439.42558,435.2168467
377,Male,-0.4,435.74544,433.51326,425.5315,431.5967333
378,Male,0.11,731.43012,589.33118,647.92986,656.2303867
379,Male,-2.17,460.1262,483.95558,459.66058,467.91412
380,Male,-0.88,408.32686,400.39292,421.33534,410.0183733
381,Male,0.03,567.07432,529.98726,559.80978,552.2904533
382,Female,-2.28,573.92896,436.23908,502.64828,504.2721067
383,Female,0.13,593.4024,543.3915,519.43304,552.0756467
384,Female,-0.49,593.01292,571.8278,564.65868,576.4998
385,Female,-2.43,478.11966,503.99372,482.69302,488.2688
386,Male,-1.12,706.34832,642.58034,661.54422,670.1576267
387,Female,-2.42,499.9299,478.97296,513.74488,497.5492467
388,Male,-0.05,658.75526,556.9326,582.00298,599.23028
389,Male,-2.01,504.8372,469.28,482.69302,485.6034067
390,Female,-1.78,567.69746,525.9961,560.36928,551.35428
391,Female,-1.01,631.95982,576.1965,575.00932,594.3885467
392,Male,-0.27,550.7945,490.69194,531.46212,524.3161867
393,Male,-2.24,460.35988,480.26662,457.2361,465.9542
394,Female,-0.9,512.00342,475.87514,476.81836,488.2323067
395,Male,-0.17,488.16794,465.83162,474.02088,476.0068133
396,Male,-1.04,446.10532,401.59584,433.83066,427.1772733
397,Male,-1.37,665.29832,558.45632,608.01938,610.59134
398,Male,-0.08,513.95076,469.3602,517.47482,500.2619267
399,Female,-0.22,622.84624,581.75668,576.78104,593.7946533
400,Female,-0.22,586.31408,543.70922,539.85454,556.6259467
401,Male,0.3,596.28448,500.87664,553.00262,550.05458
402,Male,-0.88,491.75106,500.31528,483.71878,491.9283733
403,Male,-2.09,470.33028,474.09166,457.14288,467.1882733
404,Male,-0.65,440.34118,446.1038,485.21074,457.2185733
405,Male,1.03,591.68874,522.20838,535.3786,549.7585733
406,Female,-1.05,393.21548,402.24258,376.10966,390.5225733
407,Male,-3.25,554.06606,536.08204,570.44012,553.5294067
408,Male,-0.18,520.02648,497.66886,497.51956,505.0716333
409,Male,-1.62,615.36844,571.2072,625.55016,604.0419333
410,Female,0.1,755.03194,624.80828,632.82354,670.88792
411,Male,0.95,730.26168,638.16964,679.63446,682.6885933
412,Female,-0.34,709.69776,649.27304,670.12308,676.3646267
413,Male,0.7,768.0402,658.85982,710.3133,712.40444
414,Female,0.58,607.0338,565.31444,562.60722,578.3184867
415,Female,-1.09,613.88846,543.55038,578.64602,578.6949533
416,Male,-1.82,668.02464,559.7394,614.08056,613.9482
417,Female,-1.12,757.29086,669.21024,660.2387,695.5799333
418,Female,-1.1,716.7861,616.22974,639.44424,657.4866933
419,Male,-1.05,699.3379,597.43084,625.45692,640.7418867
420,Male,0.41,713.67036,663.19032,662.56994,679.8102067
421,Male,0.21,694.82006,589.81236,645.41216,643.3481933
422,Male,-0.23,685.8623,610.8233,600.83924,632.50828
423,Female,0.26,695.59902,628.14438,669.00412,664.2491733
424,Male,-0.65,645.82488,527.822,563.25998,578.9689533
425,Female,-1.09,631.10298,610.9873,589.74264,610.6109733
426,Female,-0.79,715.38402,631.87766,640.1902,662.48396
427,Male,-0.36,693.41798,593.02014,627.22864,637.88892
428,Female,0.63,655.6395,628.54154,608.29912,630.82672
429,Male,-0.87,694.74218,594.30324,624.15144,637.7322867
430,Male,-1.16,731.97538,605.2899,669.0041,668.75646
431,Female,-0.4,705.10204,629.4947,650.72732,661.7746867
432,Female,-0.44,694.97586,604.0768,613.24132,637.4313267
433,Female,0.26,649.09642,582.63042,593.37932,608.36872
434,Male,0.51,790.23994,663.5913,712.1783,722.00318
435,Female,-0.95,722.31654,625.20544,648.58262,665.3682
436,Female,1.08,735.3248,657.45442,659.11974,683.96632
437,Female,-0.68,681.8118,600.42294,633.2898,638.50818
438,Female,0.76,716.39664,659.12248,642.52144,672.6801867
439,Female,0.46,681.88968,609.23982,645.59866,645.5760533
440,Female,-1.31,624.24834,565.31446,552.81612,580.7929733
441,Female,-0.29,697.31268,634.6577,645.78514,659.25184
442,Female,-0.08,790.70728,661.10828,694.08802,715.3011933
443,Female,-0.19,700.5842,667.22444,661.82392,676.5441867
444,Female,-0.49,677.995,637.43782,656.7885,657.4071067
445,Female,-0.38,494.94468,475.79572,461.71206,477.4841533
446,Male,0.81,666.62252,568.48062,634.96828,623.35714
447,Male,0.24,491.90686,466.1524,452.76014,470.2731333
448,Female,-0.39,653.069,577.86456,561.5815,597.50502
449,Female,-0.02,663.1173,626.6352,602.7042,630.8189
450,Male,-0.63,724.10812,666.15754,647.83662,679.3674267
451,Female,-1.28,697.9358,629.57416,636.83326,654.7810733
452,Female,-0.73,617.54946,605.58598,584.61396,602.5831333
453,Male,-0.01,652.44588,625.17814,634.87504,637.4996867
454,Male,0.06,603.217,551.96052,575.28908,576.8222
